# 从 Anki 牌组转换：大学英语四级单词(词典重制完美版).apkg
# 格式：单词|释义|例句|例句翻译
sustain|[səˈsteɪn] vt. 支持；承受|His hope for future sustained him.|对未来的希望支持了他。
swallow|[ˈswɒləʊ] n. 燕子；吞咽 v. 忍受；吞下|There are many swallows flying in the sky.|天空中有许多燕子。
swamp|[swɒmp] n. 沼泽；湿地 v. 淹没；使陷于困境|In the swamp we were beset by mosquitoes.|我们在沼泽地受到蚊子的围攻。
swan|[swɒn] n. 天鹅 vi. 闲荡；游荡|A black swan is rare.|黑天鹅很稀有。
swarm|[swɔːm] n. 群；蜂群 v. 云集；充满|I saw a swarm of bees attacking the poor monkey.|我看到一群蜜蜂正在攻击可怜的猴子。
sway|[sweɪ] v. 摇动；摇摆 n. 摇摆；支配|The branches of the trees were swaying in the wind.|树枝在风中摇晃。
swear|[sweə(r)] v. 咒骂；发誓 n. 誓言；咒骂|Shut up! How dare you swear at me like that!|住嘴，你竟敢那样咒骂我!
sweat|[swet] n. 汗水 n. 焦急；繁重工作 v. (使)出汗|He is covered with sweat.|他浑身是汗。
sweater|[ˈswetə(r)] n. 毛衣；出汗者|This woolen sweater may keep you warm in winter.|这件羊毛衫在冬天可以保暖。
sweep|[swiːp] v. 打扫；掠过 n. 清扫；连绵一片|He picked up the broom to help me sweep the floor.|他拿起扫帚帮我扫地。
swell|[swel] v. （使）膨胀；（使）鼓起 n. 增大；膨胀 adj. 很棒的；时髦的|The hills swell gradually up from the plain.|山丘逐渐由平原膨胀起来。
swift|[swɪft] adj. 快的；迅速的 n. 雨燕；线轴 Swift. n. 斯威夫特（人名）|He made a remarkably swift recovery.|他康复得相当快。
swing|[swɪŋ] n. 摇摆；改变 v. 摇摆；旋转|The swing of the ship made many people seasick.|船的摇摆使许多人晕船。
Swiss|[swɪs] adj. 瑞士的 n. 瑞士人|Millions were deposited in Swiss bank accounts.|巨额款项存入了瑞士的银行账户。
switch|[swɪtʃ] n. 转换；开关 v. 改变；交换|How do I switch to the next major release branch?|如何转换为下个主要发布版本分支？
sword|[sɔːd] n. 剑；刀|He drove at her with his sword.|他用剑猛攻击她。
symbol|[ˈsɪmbl] n. 符号；象征|The chemical symbol for copper is "Cu".|铜的化学符号是Cu。
sympathetic|[ˌsɪmpəˈθetɪk] adj. 同情的；共鸣的 n. 交感神经|He took a sympathetic attitude toward my situation.|他对我的境遇抱同情的态度.
sympathize|[ˈsɪmpəθaɪz] vi. 同情；同感|We all sympathize with you in your bereavement.|我们对你丧亲之痛表示同情。
sympathy|[ˈsɪmpəθi] n. 同情；同情心|I felt much sympathy for the blind.|我对盲人深感同情。
synthetic|[sɪnˈθetɪk] adj. 合成的；人造的 n. 合成物；人工制品|The basin is made of synthetic resin.|这个盆是用合成树脂做的。
systematic|[ˌsɪstəˈmætɪk] adj. 有系统的；分类的|He is making a systematic study of the subject.|他在对那一科目作系统的研究。
tablet|[ˈtæblət] n. 药片；匾|Fill a glass with water and dissolve this tablet in it.|倒杯水把药片放进去溶解了。
tag|[tæɡ] n. 标签；附属物 vt. 连接；附以签条 vi. 紧随；尾随|She peered at the tag to read the price.|她细看标签以看清价格。
tail|[teɪl] n. 后部；尾巴 vt. 跟踪；盯 ... 的梢 vi. 尾随；附于其后|He drove into the back of my truck and smashed the tail light.|他开车撞进我卡车的后部，把我的尾灯撞得粉碎。
tailor|[ˈteɪlə(r)] n. 裁缝 vt. 缝制；调整使适合 vi. 做裁缝|This tailor is famous for making good suit.|这位裁缝以做高级西装而出名。
take|[teɪk] v. 拿；取 n. 拿取；取得物|Please take the trash to the garbage can.|请将垃圾拿到垃圾筒去。
tale|[teɪl] n. 故事；叙述 v. 谈论，讲述，搬弄是非|Their love story sounds like a fairy tale.|他们的爱情故事听起来像童话。
talent|[ˈtælənt] n. 天赋；才能，才艺|He has great talent, but he has lost his faith.|他很有天赋，但是他已经丧失了信心。
talk|[tɔːk] v. 交谈；商讨 n. 谈话；会谈|I wish to talk with you in private.|我希望能私下里同你谈话。
tame|[teɪm] adj. 驯服的；柔顺的 vt. 驯养；使驯服 vi. 变得驯服|A boy was playing with a tame snake.|一个男孩在玩一条驯服了的蛇。
tan|[tæn] n. 棕褐色；黝黑 v. 晒黑；鞣(革) adj. 棕褐色的|I bought a pair of tan leather shoes the other day.|前几天我买了双棕褐色的皮鞋。
tank|[tæŋk] n. 箱；罐 vt. 把 ... 储于槽中|Is there any water left in the water tank?|水箱里还有水剩下吗？
tap|[tæp] n. 龙头；塞子 n. 轻拍；轻敲 v. 轻拍；轻击 v. 开发；利用|The water leaked from the tap drop by drop.|水一滴一滴地从龙头漏出来。
tape|[teɪp] n. 磁带；胶布 v. 录音；录像|I've got all the Beethoven symphonies on tape.|我有贝多芬交响乐全部的录音带。
task|[tɑːsk] n. 任务；工作 vt. 交给某人（任务)；使做艰苦的工作|It is an irksome task.|那是件令人厌烦的工作。
taste|[teɪst] n. 味觉；味道 v. 品尝；有 ... 味道的|I've got a cold and so I have lost my sense of taste.|我伤风了,尝不出味道。
tax|[tæks] n. 税；负担 v. 斥责；课税|She was fined for tax evasion.|她因逃税而被罚款。
tea|[tiː] n. 茶；茶叶|A nice cup of tea will soothe your nerves.|一杯好茶可以使你的心绪平静下来。
teach|[tiːtʃ] vt. 教；教导 vi. 给予指导|I taught her to ride a bicycle.|我教她骑自行车。
teacher|[ˈtiːtʃə(r)] n. 教师|I asked the teacher for her advice.|我征求这位老师的意见。
teaching|[ˈtiːtʃɪŋ] n. 教学；教义 adj. 教学的 动词teach的现在分词.|He is equipped with much experience in teaching.|他具有丰富的教学经验。
team|[tiːm] n. 队；组 v. 使相配；使合作 adj. 团队的|John is the spark plug on his rowing team.|约翰是划船队的中坚分子。
tear|[teə(r)] vt. 撕掉；扯下 vi. 流泪；撕破 n. 眼泪；（撕破的）洞或裂缝|Take the book from Alice, she will tear it.|把书从艾丽斯那拿开，她会撕了它的。
technical|[ˈteknɪkl] adj. 技术的；专业的|On technical matters, I defer to the experts.|在技术问题上，我遵从专家的意见。
technician|[tekˈnɪʃn] n. 技术员；技师|A technician on probation was hit by a piece of falling masonry.|一个见习技术员被建筑物上落下的一块石头砸着了。
technique|[tekˈniːk] n. 技术；技巧|The technique is still at the experimental stage.|这项技术正处于实验阶段。
technology|[tekˈnɒlədʒi] n. 技术；工艺|The government saw the introduction of new technology as vital.|政府认为引进新技术至关重要。
tedious|[ˈtiːdiəs] adj. 单调乏味的；沉闷的|The tedious job simply ate me up.|那单调乏味的工作简直把我烦死了。
teenager|[ˈtiːneɪdʒə(r)] n. 青少年；13岁到19岁的年轻人|He is a lanky teenager.|他是个瘦削的少年。
telegram|[ˈtelɪɡræm] n. 电报 vt. 向 ... 发电报|The telegram asked for an instant reply.|这封电报要求立即回覆。
telegraph|[ˈtelɪɡrɑːf] n. 电报；电报机 vt. 打电报；显示|It was in an obscure warehouse on Telegraph Road.|那是电报路上一座不明显的仓库。
telephone|[ˈtelɪfəʊn] n. 电话 v. 打电话|Let me note down your address and telephone number.|让我记下你的地址和电话号码。
telescope|[ˈtelɪskəʊp] n. 望远镜 v. 缩短；压缩|He saw a hungry wolf on the prowl with his telescope.|他通过望远镜看到了一头四处觅食的饿狼。
television|[ˈtelɪvɪʒn] n. 电视机；电视节目|He turned up the volume on the television.|他把电视机的音量调大了。
tell|[tel] v. 告诉；吩咐|It's very kind of you to tell me the truth.|你真好,告诉我这真相。
temper|[ˈtempə(r)] n. 脾气；性情 vt. 使缓和；调和|He slammed the door in a temper.|他生气地摔门。
temperature|[ˈtemprətʃə(r)] n. 气温；体温|The temperature has stayed hot this week.|本周气温一直都很热。
temple|[ˈtempl] n. 神殿；寺院 n. 太阳穴，鬓角|The heathen temple was torn down by a crowd of religions fanatics.|异教徒的神殿被一群宗教狂热分子拆除了。
temporary|[ˈtemprəri] adj. 暂时的；临时的 n. 临时工|He suffered a temporary loss of memory.|他暂时丧失了记忆。
tempt|[tempt] vt. 诱惑；怂恿|The warm weather tempted us into going for a swim.|暖和的天气诱使我们去游泳。
temptation|[tempˈteɪʃn] n. 诱惑；引诱物|I can't resist the temptation.|我不能抵挡诱惑。
ten|[ten] num. 十|He has been an exile for ten years.|他已经流亡十年。
tenant|[ˈtenənt] n. 房客；佃户 vt. 租赁；租借|The tenant has not yet paid his rent.|房客还没有交付租金。
tend|[tend] v. 趋向；易于 v. 照料；照管|Weeds tend to displace other plants.|杂草越来越多，有取代其他植物之势。
tendency|[ˈtendənsi] n. 趋势；倾向|There is a tendency towards regional cooperation.|有一种地区性合作的趋势。
tender|[ˈtendə(r)] adj. 温柔的；脆弱的 v. 提出；投标 n. 投标；照管人|She is always tender and soft-spoken.|她总是那么温柔,轻声细语。
tense|[tens] adj. 紧张的；绷紧的 v. 拉紧；使紧绷 n. (动词)时态|Try to act naturally, even if you're tense.|即使紧张也不要做作。
tent|[tent] n. 帐篷 v. 住帐篷；宿营|They set up a tent near the seashore.|他们在海滨附近搭起了一个帐篷。
tenth|[tenθ] n. 第十；十分之一|The leading car crashed midway through the tenth lap.|领先的那辆赛车在第十圈的中途撞毁了。
term|[tɜːm] n. 学期；术语 vt. 把 ... 称为|Are there any exams at the end of this term?|这个学期期末有考试吗？
terminal|[ˈtɜːmɪnl] n. 末端；终点站 adj. 末端的；终点的|That terminal is live.|那个接头有电。
terrific|[təˈrɪfɪk] adj. 可怕的；极好的|The ceiling came down with a terrific crash.|随着一声可怕的巨响，天花板塌了下来。
territory|[ˈterətri] n. 领土；领域|The territory was carved up by the occupying powers.|领土被侵占者瓜分。
text|[tekst] n. 正文；文本 v. 发短信|The text is accompanied by illustrations.|正文附有插图。
textbook|[ˈtekstbʊk] n. 课本；教科书|Each student was issued with a textbook.|每个学生发了一本课本。
textile|[ˈtekstaɪl] n. 纺织品|He intends to retail textile goods.|他打算零售纺织品。
than|[ðən] conj. 比；除…外（用于other等之后） prep. 比|She was older than I was.|她年纪比我大。
thank|[θæŋk] v. 感谢；谢谢 n. 谢意；感谢|Thank you all the same.|不管怎样，还是要谢谢你。
that|[ðæt] pron. 那 conj. 引导从句 adj. 那个；上文提到的 adv. 非常；那么地|What is the difference between this and that?|这个和那个之间的区别是什么？
the|[ðə] art. 那；这 adv. （用于比较级前）更加；用于最高级前|I reached the gate that opened towards the lake.|我走到临湖而开的那扇门前。
theatre|[ˈθɪətə(r)] n. 戏院；剧场 adj. 戏院的 =theater.|There is a ban on smoking in the theatre.|这剧院内禁止吸烟。
their|[ðeə(r)] adj. 他们的；她们的|They washed their faces.|他们洗了脸。
them|[ðəm] pron. 他们；她们|Let's go visit them.|让我们去拜访他们吧。
themselves|[ðəmˈselvz] pron. 他/她/它们自己；他/她/它们亲自|They finished the work by themselves.|他们自己完成了这项工作。
then|[ðen] adv. 那么；然后 adj. 当时的 n. 当时|He'll be looking for a new secretary then?|那么,他就要找个新秘书了？
theoretical|[ˌθɪəˈretɪkl] adj. 理论上的|These findings have both theoretical and practical applications.|这些发现具有理论和实际的应用。
theory|[ˈθɪəri] n. 学说；理论|There're many theories about the origin of life.|关于生命起源的学说有很多。
thereby|[ˌðeəˈbaɪ] adv. 因此；从而|They paid cash, thereby avoiding interest charges.|他们付了现款，因此不必另外加息。
therefore|[ˈðeəfɔː(r)] adv. 因此；所以|We do not have enough money. Therefore we can not afford to buy the new car.|我们的钱不够,因此买不成这辆新车。
thermometer|[θəˈmɒmɪtə(r)] n. 温度计|The thermometer reads 27 degrees.|温度计的读数是27度。
they|[ðeɪ] pron. 他们|Women used to think they were on the shelf at 30.|过去女人一到30岁就认为是过了结婚年龄。
thick|[θɪk] adj. 厚的；浓密的|He put on a thick sweater since it was cold in the morning.|早晨很冷，他穿上了一件厚毛衣。
thickness|[ˈθɪknəs] n. 厚度；浓度|The beam has a thickness of 3 inches.|这根梁厚3英寸。
thief|[θiːf] n. 贼；小偷|His enemies labelled him a thief.|他的敌人称他为贼。
thin|[θɪn] adj. 薄的；瘦的|The ice on the pond is too thin for skating.|池塘上的冰面太薄了，不能滑冰。
thing|[θɪŋ] n. 东西；事情 （复）things: 所有物|That was the only thing they could count on.|那是他们唯一依靠的东西。
think|[θɪŋk] v. 认为；想 n. 想|I think you are very brave.|我认为你非常勇敢。
third|[θɜːd] num. 第三；三分之一 adj. 第三的；三分之一的|The favourite came in third.|那个最有希望获胜的却跑了个第三名。
thirdly|[ˈθɜːdli] adv. 第三|Thirdly, we must be fair and reasonable.|第三，待人处事都要公道。
thirst|[θɜːst] vi. 渴望；渴求 n. 口渴；渴望|On these dry days, you soon thirst for a cool drink.|在那些干旱的日子里，你不久就会渴望喝点清凉的东西。
thirty|[ˈθɜːti] num. 三十|I'll be thirty next year.|明年我就满三十岁了。
this|[ðɪs] pron. 这；这个 adj. 这个 adv. 这样；这么|This is, in part, my own mistake.|在某种程度上来说,这是我自己的错。
thorn|[θɔːn] n. 刺；荆棘|She got her finger pricked by a thorn.|她的手指被刺扎了一下。
thorough|[ˈθʌrə] adj. 彻底的；完全的|I gave the radio a thorough inspection before buying it.|我把收音机彻底检查了一遍才买了下来。
thought|[θɔːt] n. 思想；想法 v. 想，思考，考虑（动词think的过去式和过去分词）|The old man was lost in thought and did not hear us come in.|这个老人凝神沉思，没有听见我们进来。
thoughtful|[ˈθɔːtfl] adj. 深思的；体贴的|He had a thoughtful look on his face.|他脸上露出深思的表情。
thousand|[ˈθaʊznd] n. 千 n. 【C】成千上万；许许多多|Thousands of spectators watched the sailing.|数千名观众观看了这次游艇比赛。
thread|[θred] n. 线；思路 vt. 穿过；穿线于 vi. 滴下成丝状；小心地通过|How many spools of thread did you use?|你用了几轴线?
threat|[θret] n. 威胁；恐吓|His presence is a threat to our success.|他的出现对我们的成功是一个威胁。
threaten|[ˈθretn] v. 威胁；恐吓|The rebels threatened to seize civilian hostages.|叛乱分子威胁要扣押平民为人质。
thrill|[θrɪl] n. 激动；引起激动的事物 v. (使)激动；感到紧张|It gave me a real thrill to see her again after so many years.|那么多年后与她重逢,我非常激动。
thrive|[θraɪv] vi. 兴旺；繁荣|A business cannot thrive without good management.|没有良好的经营管理，事业就不会兴旺发达。
throat|[θrəʊt] n. 嗓子；喉咙 vt. 低语；压着嗓子说(唱)|I have a sore throat today.|我今天嗓子疼。
throne|[θrəʊn] n. 王位；君主|Henry IV usurped the throne of England.|亨利四世篡夺了英国的王位。
throng|[θrɒŋ] n. 人群；一大群 v. 群集；挤满|A patient throng was waiting in silence.|一大群人耐心地静候着。
throughout|[θruːˈaʊt] prep. 遍及；贯穿 adv. 自始至终；到处|The disease spread throughout the country.|这种疾病蔓延全国。
throw|[θrəʊ] v. 扔；投 n. 抛；投掷|The trees threw long shadows across the lawn.|树在草坪上都投下长长的影子。
thrust|[θrʌst] v. 刺；插入 n. 刺；推力|The mugger thrust at his victim with a knife.|抢劫者用刀子向受害人刺去。
thumb|[θʌm] n. 拇指 v. 翻阅；示意要求搭车|Don't suck your thumb; it's so dirty.|别舔手指头，太脏了。
thunder|[ˈθʌndə(r)] n. 雷；雷声 v. 打雷；轰隆地响|The thunder rumbled in the distance.|远处雷声隆隆。
Thursday|[ˈθɜːzdeɪ] n. 星期四|I'm usually free between Tuesday and Thursday.|我通常在星期二至星期四有空。
tick|[tɪk] v. 滴答作响；给…标记号 n. 滴答声；一会儿|The clock ticks very loudly.|这只钟发出很响的滴答声。
tide|[taɪd] n. 趋势；潮流 v. 渡过；（使）随潮漂流|For a moment the tide almost turned against him.|在短短的时间内，舆论的趋势几乎变得对他不利。
tidy|[ˈtaɪdi] adj. 整齐的；整洁的 vt. 整理；使整洁 vi. 整理；收拾|She keeps her house very tidy.|她保持她的住所整整齐齐。
tie|[taɪ] n. 束缚；使人结合在一起的事物 v. 系；约束|He doesn't want any ties; that's why he never married.|他不愿受束缚，所以不结婚。
tiger|[ˈtaɪɡə(r)] n. 老虎；凶残之人|The tiger is a representative of the cat family.|老虎是猫科动物的典型。
tight|[taɪt] adj. 紧的；紧身的 adv. 紧紧地；牢固地|This pair of trousers is too tight for me.|这条裤子我穿太紧了。
till|[tɪl] prep. 直到 ... 为止 conj. 直到 ... 为止 n. 放钱的抽屉；备用现金 v. 耕作|The meeting adjourned till five o'clock.|会议延至五点召开。
timber|[ˈtɪmbə(r)] n. 木材；木料|He used to be a timber merchant.|他曾是一个木材商。
timetable|[ˈtaɪmteɪbl] n. 时间表；时刻表|I'll change my timetable to fay in with yours.|我将改变时间表以便和你们的吻合起来。
timid|[ˈtɪmɪd] adj. 胆怯的；害羞的|They taunted him for being timid.|他们讥笑他胆小。
tin|[tɪn] n. 锡；罐头 adj. 锡制的 vt. 镀锡于|We fuse copper and tin to make bronze.|我们把铜和锡熔制成青铜。
tiny|[ˈtaɪni] adj. 极小的；微小的|A tiny fishing boat was drifting slowly along.|一只小小的渔船在缓缓地漂去。
tip|[tɪp] n. 小费；小建议 v. 给小费；装顶端|He charged me 20 yuan for tip.|他向我要了20元小费.
tire|[ˈtaɪə(r)] n. 轮胎；金属圈 v. 使疲倦；厌烦|There is no tread on the tire - you should put on a new one.|这条轮胎已经磨平了，你应该换一条新的。
tired|[ˈtaɪəd] adj. 疲倦的；疲劳的|I am not in the least tired.|我一点也不疲倦。
tissue|[ˈtɪʃuː] n. 纸巾；薄绢|She gave us a box of tissues.|她递给我们一盒纸巾。
title|[ˈtaɪtl] n. 标题；称号 v. 加标题于；授予…称号|What's the title of her new book?|她的新书书名是什么？
to|[tə] prep. 对于；为了 adv. （表示方向）去；（门）关上|This will be a great boost to the economy.|这对于经济发展将是一个巨大的促进。
toast|[təʊst] n. 吐司；烤面包 n. 祝酒；祝酒词 v. 烤；烘 v. (为 ... )祝酒|She put a dab of butter on the toast.|她在吐司上抹了一点黄油。
tobacco|[təˈbækəʊ] n. 烟草|A high amount of money is spent on tobacco every year.|每年都要花费大量金钱在烟草上。
today|[təˈdeɪ] n. 今天；当今 adv. 今天；当今 adj. 现在的|Today is my birthday.|今天是我的生日。
toe|[təʊ] n. 脚趾；足尖 vt. 趾触；趾踢 vi. 踮着脚尖走 abbr. 吨油当量（=Ton Oil Equivalent）|Each foot has five toes.|每只脚有五个脚趾头。
together|[təˈɡeðə(r)] adv. 共同；一起 adj. 有能力的；镇定的|Let's join hands and struggle together.|咱们携起手来斗共同争。
toilet|[ˈtɔɪlət] n. 厕所；盥洗室|Where is the ladies' toilet?|女厕所在那里？
tolerance|[ˈtɒlərəns] n. 宽容；忍耐力|Tolerance is another name for indifference.|宽容是不关心的别名。
tolerate|[ˈtɒləreɪt] vt. 容许；忍受|We do not tolerate any form of discrimination.|我们绝不容许歧视的存在。
tomato|[təˈmɑːtəʊ] n. 西红柿；蕃茄|Would you like some tomato paste?|你要西红柿酱吗？
tomb|[tuːm] n. 坟墓 vt. 埋葬|Those dead soldiers were buried in the tombs.|那些死去的战士被埋葬在坟墓里。
tomorrow|[təˈmɒrəʊ] adv. 明天 n. 明天；将来|We will play basketball tomorrow.|我们明天打篮球。
ton|[tʌn] n. 吨；大量|The maximum load for this lorry is one ton.|这辆卡车最大载重量是一吨。
tone|[təʊn] n. 语气；音调 v. 使更健壮；定调|He often speaks in an arrogant tone.|他经常以一种傲慢的口气说话。
tongue|[tʌŋ] n. 舌头；语言 v. 舔；用舌吹奏管乐器|The tongue is one of the vocals.|舌头是发声器官之一。
tonight|[təˈnaɪt] adv. 今晚 n. 今晚|The band is really in the groove tonight.|乐队今晚演奏得精彩极了。
tool|[tuːl] n. 工具；用具 vt. 用工具加工 vi. 使用工具|Don't injure yourself with that tool.|不要让那工具伤害到你。
tooth|[tuːθ] n. 牙齿；齿状物|This tooth is sensitive to cold.|这颗牙对冷过敏。
top|[tɒp] n. 顶部；顶 adj. 最高的；顶端的 vt. 形成顶部；达到…的顶端 vi. 总结；超越|The mountain tops are covered with snow.|白雪覆盖着山顶。
torch|[tɔːtʃ] n. 手电筒；火炬 v. 纵火|He turned on the torch to look for his keys.|他打开了手电筒，寻找钥匙。
torrent|[ˈtɒrənt] n. 激流；山洪|The river was a torrent after the storm.|暴风雨过后，河水成了激流。
tortoise|[ˈtɔːtəs] n. 龟|He bought two small tortoises for me.|他给我买了两只小乌龟。
torture|[ˈtɔːtʃə(r)] n. 拷问；痛苦 vt. 拷问；使痛苦|The use of torture must disgust any civilized person.|施用酷刑必为文明社会的人所不齿。
toss|[tɒs] n. 投掷；震荡 v. 投掷；摇荡|The decision depended on the toss of a coin.|那项决定是靠掷硬币的方法做出的。
touch|[tʌtʃ] vt. 触摸；感动 vi. 接触；联系 n. 触觉；接触|Don't touch the paint until it's dry.|油漆未干,切勿触摸。
tough|[tʌf] adj. 强硬的；棘手的，难办的 adv. 以强硬的态度；强硬地，顽强地 n. 暴徒；恶棍|The government is taking a tough line on drug abuse.|政府对滥用麻醉药品采取强硬方针。
tour|[tʊə(r)] n. 旅游；观光 v. 周游；旅行|They're going on a world tour.|他们正在环球旅行。
tourist|[ˈtʊərɪst] n. 旅游者；二等舱 adj. 观光的；乘坐二等舱的|The tourist complained that the room was too dirty.|游客抱怨说房间太脏了。
towel|[ˈtaʊəl] n. 毛巾；手巾 v. 用毛巾擦|I dry my hands and face with the towel.|我用毛巾擦干了双手和面部。
town|[taʊn] n. 城市；城镇|The town was invaded by reporters.|这个城市涌进了大批记者。
trace|[treɪs] n. 痕迹；微量 v. 追踪；描绘|When the police exhume the corpse they discover trace of poison in it|警方掘出尸体, 发现有中毒的痕迹
track|[træk] n. 轨道；跑道 v. 追踪；跟踪|The tram is being switched on to another track .|电车正被移至另外一条轨道上。
tractor|[ˈtræktə(r)] n. 【C】拖拉机；牵引车|The tractor pulls well.|这台拖拉机拉力大。
trade|[treɪd] n. 贸易；交易 v. 做生意；从事贸易|China does a lot of trade with many countries.|中国和许多国家进行多方面贸易。
tradition|[trəˈdɪʃn] n. 传统；惯例|We shall carry forward the revolutionary tradition.|我们应该发扬革命传统。
traditional|[trəˈdɪʃənl] adj. 传统的|The traditional breakfast in this area includes bacon and eggs.|这个地区传统的早饭包括火腿和鸡蛋。
tragedy|[ˈtrædʒədi] n. 悲剧；灾难|Tragedy is in store for that poor girl from the beginning.|从一开始，那个女孩的悲剧就是不可避免的。
trail|[treɪl] n. 踪迹；小径 vi. 拖；落后于 vt. 追踪；拖拽|The dogs found the trail of the rabbit.|猎狗发现了兔子的踪迹。
train|[treɪn] n. 列车；火车 vt. 训练；培训 vi. 进行锻炼，接收训练；练习|The 6:30 train for Berlin has been canceled.|6点30分开往柏林的列车已经取消。
training|[ˈtreɪnɪŋ] n. 训练；培养 动词train的现在分词形式.|The champion is in training for his next fight.|这位冠军为了下一场比赛正在进行训练。
traitor|[ˈtreɪtə(r)] n. 叛徒；卖国贼|The infamous traitor was sentenced to death.|那个罪大恶极的叛徒被判处死刑。
tram|[træm] n. 缆车；煤车 v. 乘缆车；用煤车运|A tram was just arriving at the hill foot.|一辆缆车刚到达山脚下。
tramp|[træmp] n. 徒步；流浪汉 v. 践踏；步行|The boys took a tramp together over the hills.|男孩们一起徒步爬那些山岗。
transfer|[trænsˈfɜː(r)] v. 转移；调任 n. 迁移；移动|The exhibition was transferred to anhtoer city two days later.|两天后,这个展会转移到另外一个城市。
transform|[trænsˈfɔːm] vt. 改变；转换 vi. 改变；变形|She is responsible for the character part of the hero's devoted mother.|她负责这个主人公的忠诚的母亲的角色部分。
transformation|[ˌtrænsfəˈmeɪʃn] n. 转型；转化|The foundation is about to go through another transformation.|基金会正准备进行另一次转型。
transformer|[trænsˈfɔːmə(r)] n. 变压器|A linear differential transformer has three coils.|一个直线差动变压器有三个线圈。
transistor|[trænˈzɪstə(r)] n. 晶体管；晶体管收音机|He devises a new type of transistor.|他发明了一种新的晶体管。
translate|[trænsˈleɪt] v. 翻译；解释|I need to translate it into English.|我必须把它译成英语。
translation|[trænsˈleɪʃn] n. 翻译；译文|I am making a verbal translation.|我正在逐字的翻译。
transmission|[trænsˈmɪʃn] n. 传输；传播|He varied the transmission frequency.|他变换了无线电传送的频率。
transmit|[trænsˈmɪt] vt. 传达；传染 vi. (以无线电或有线电的方式)发送信号|Gypsies frequently transmit recipes orally within the family.|吉普赛人经常以口头形式把秘方世代相传。
transparent|[trænsˈpærənt] adj. 透明的；明显的|Plain glass is transparent.|普通的白玻璃是透明的。
transport|[ˈtrænspɔːt] n. 运输；心醉 v. 运输；传播|The goods have been cased up for transport.|货物已装箱待运。
transportation|[ˌtrænspɔːˈteɪʃn] n. 运输；运输工具|The Panama Canal has played a very important role in transportation.|巴拿马运河在运输上起到了非常重要的作用。
trap|[træp] n. 圈套；陷阱 v. 设圈套；陷入（困境）|The police set a trap to catch the thief.|警察设下了捉拿窃贼的圈套。
travel|[ˈtrævl] v. 旅行；去某地 n. 旅行；移动|I travel 40 miles to work every day.|我每天奔波40英里去上班。
tray|[treɪ] n. 托盘；盘|Put the tray over there.|把托盘放到那边去。
treason|[ˈtriːzn] n. 叛逆 通敌 背叛 叛国罪|He was executed for treason.|他因叛国罪已处死。
treasure|[ˈtreʒə(r)] n. 财富；宝物 vt. 珍藏；珍视|A nation's treasure is in its scholars.|学者是国家的财富。
treat|[triːt] v. 对待；视为 n. 款待；宴飨|We should treat people and animals with humanity.|我们应该仁慈地对待人和动物。
treatment|[ˈtriːtmənt] n. 治疗；对待|I tried every treatment the doctor suggested.|我试遍了医生建议的每一种疗法。
treaty|[ˈtriːti] n. 条约；协定|The treaty gave (a) fresh impetus to trade.|这条约使双方的贸易又推进了一步。
tremble|[ˈtrembl] n. 战悚；颤抖 v. 发抖；忧虑|His remarks struck a tremble into her heart.|他的话令她感到不寒而栗。
tremendous|[trəˈmendəs] adj. 巨大的；惊人的|He has a tremendous hold over his younger brother.|他对他弟弟很有影响。
trend|[trend] n. 趋势；倾向 vi. 倾向；转向|The trend of prices is still upward.|物价仍有上涨趋势。
trial|[ˈtraɪəl] n. 审讯；试验 v. 测试|He went through hell during the trial.|审讯期间他吃尽了苦头。
triangle|[ˈtraɪæŋɡl] n. 三角(形)|He outlined the triangle in red.|他用红笔画出三角形。
tribe|[traɪb] n. 部落；族|A council of elders governs the tribe.|有个叫长老会的组织治理这个部落。
trick|[trɪk] n. 诡计；花招 vt. 欺骗；戏弄 adj. 有诡计的；有阴谋的|Her tears were just a trick to deceive others.|她的眼泪只是欺骗别人的诡计。
trifle|[ˈtraɪfl] n. 琐事；少量 v. 浪费；玩弄|I do not want to make a fuss over such a trifle.|我不想为这种小事大惊小怪。
trim|[trɪm] v. 修剪；削减 adj. 整洁的；匀称的 n. 修剪；整齐|I'll have my hair trimmed tomorrow.|明天我要修剪头发。
trip|[trɪp] n. 旅行；摔倒 vt. 使跌倒；使失败 vi. 绊倒；旅行|They planned to make a wedding trip to Paris.|他们计划到巴黎旅行度蜜月。
triumph|[ˈtraɪʌmf] n. 凯旋；成就 vi. 战胜；庆祝胜利|The bridge is a triumph of modern engineering.|这座桥是现代工程的一大成就。
troop|[truːp] n. 群；组 vi. 群集；结队|There is a troop of monkeys in the woods.|林子中有一群猴子。
tropical|[ˈtrɒpɪkl] adj. 热带的；炎热的|Her motherland is in the tropical region.|她的祖国位于热带地区。
troublesome|[ˈtrʌblsəm] adj. 令人烦恼的；讨厌的|You must learn to rid yourself of such troublesome thoughts.|你必须学会使自己摆脱如此令人烦恼的想法。
trousers|[ˈtraʊzəz] n. 裤子|Flared trousers are out this year.|今年喇叭裤不时兴了。
truck|[trʌk] n. 卡车；手推车 n. 交易；交往 v. 以卡车运 v. 交易；打交道|The truck was heavily loaded.|这辆卡车装载很重。
truly|[ˈtruːli] adv. 真实地；真诚地|The performance truly exalted the audience.|演出确使观众情绪高昂。
